organization,soil_property,prep_transform,train,prep_spectra,components,n,rmse,bias,rsq,ccc,rpd,rpiq
6,clay_perc,withoutTransform,int10CVrep10,raw,10,69,9.555739558321084,0.9953574947034699,0.5525288080142822,0.727558271336773,1.2483989414961254,1.5243711039873804
6,clay_perc,withoutTransform,int10CVrep10,SG1stDer,22,69,10.278535667401526,1.112111278393877,0.5789950301886018,0.7257058378546777,1.1871459770324715,1.4495775055964208
6,clay_perc,withoutTransform,int10CVrep10,SNV,12,69,6.744239026916874,0.5968540219285287,0.7068309818552266,0.8382715221571159,1.7648051973624401,2.1549345786868392
6,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer,5,69,8.649669806024065,0.6592420165228504,0.5805290486908861,0.7561684032760567,1.3674055115109252,1.6696853705132741
6,clay_perc,withoutTransform,int10CVrep10,wavelet,9,69,10.385441553071665,1.2452128542212861,0.550131489131314,0.7119221560103239,1.141413293483279,1.3937351150007986
6,pH_H20,withoutTransform,int10CVrep10,BOC,5,70,0.90950357138916,0.07714086601882811,0.6368134485896462,0.7641762398918961,1.6914928212301372,2.6728554695004645
6,pH_H20,withoutTransform,int10CVrep10,raw,5,70,0.5707389754572711,-0.03273359467642908,0.7871082451731303,0.885497124059783,2.1508669232421407,3.3987471586042366
6,pH_H20,withoutTransform,int10CVrep10,SG1stDer,30,70,0.6708496429574377,-0.032849551097621034,0.7994147499401077,0.8750160621691441,1.879068254056359,2.969257567860462
6,pH_H20,withoutTransform,int10CVrep10,SNV,7,70,0.5139996090877168,-0.009182657525146427,0.8307707596350024,0.9106111297014587,2.3913616886792357,3.778771088423394
6,pH_H20,withoutTransform,int10CVrep10,SNVplusSG1stDer,6,70,0.48404501859595417,-0.021801063524372895,0.8463379853100256,0.9192397685571393,2.531435609957847,4.000112463287541
6,pH_H20,withoutTransform,int10CVrep10,wavelet,30,70,0.6697962278664149,-0.03940998289615336,0.7921262469381095,0.8734862483659219,1.8619482201121356,2.9422049101184253
6,potassium_cmolkg,logTransform,int10CVrep10,BOC,5,69,1.9799412026098826,0.23323578459767283,0.17486600860826118,0.27695589840149504,0.6302815741589729,0.82946624253837
6,potassium_cmolkg,logTransform,int10CVrep10,raw,5,69,0.5707016662248079,-0.008899916779754904,0.480612529699932,0.6884373409872522,1.3463311494259014,1.786611797364242
6,potassium_cmolkg,logTransform,int10CVrep10,SG1stDer,5,69,0.6130510007222681,-0.010660630457931143,0.4782791683470853,0.69037687529974,1.2534735346077535,1.6633876484021157
6,potassium_cmolkg,logTransform,int10CVrep10,SNV,5,69,0.5816276273871355,-0.01147907843818631,0.48150496426783596,0.6921782691438331,1.3204901402189062,1.75232019538749
6,potassium_cmolkg,logTransform,int10CVrep10,SNVplusSG1stDer,5,69,0.5990610399159473,-0.019061132200118788,0.49085987209175586,0.6999138852694912,1.282025916865797,1.70127730356372
6,potassium_cmolkg,logTransform,int10CVrep10,wavelet,5,69,0.5976230867272158,-0.009776293682264974,0.5045138485225773,0.7089191312538409,1.2856969323713516,1.7061488239272857
7,carbon_org_perc,logTransform,int10CVrep10,BOC,9,69,0.38412118483595614,0.020133919091710913,0.8972074569999098,0.9455926268893853,3.16178012918069,4.185527581295143
7,carbon_org_perc,logTransform,int10CVrep10,raw,10,69,0.4046851383960044,0.010745019904188122,0.8856185314047809,0.9382648008137515,2.9889743449961546,3.956769303881611
7,carbon_org_perc,logTransform,int10CVrep10,SG1stDer,7,69,0.29050236837605925,-0.0070889848537720205,0.9415707664739722,0.9701366672220416,4.151010793123815,5.495059572461704
7,carbon_org_perc,logTransform,int10CVrep10,SNV,10,69,0.33247846257878005,0.020572033424810784,0.9229785026681908,0.9593638454797644,3.631267855726307,4.807029946497695
7,carbon_org_perc,logTransform,int10CVrep10,SNVplusSG1stDer,7,69,0.3117227561361571,-0.005219710304141844,0.932643699450959,0.9653624878395777,3.870453102681761,5.123660580908812
7,carbon_org_perc,logTransform,int10CVrep10,wavelet,10,69,0.297913600517932,-0.005562988461418078,0.9382513863787124,0.9680810678165818,4.0481801839178315,5.35893361384087
7,clay_perc,withoutTransform,int10CVrep10,BOC,5,69,9.906870288289598,0.7736530425165147,0.4837101616819866,0.6877881810288271,1.195027126220849,1.4592008685212392
7,clay_perc,withoutTransform,int10CVrep10,raw,5,69,8.132570396636014,0.4675372350948602,0.5520285272441294,0.7378179365299435,1.4539136879958372,1.7753171201959534
7,clay_perc,withoutTransform,int10CVrep10,SG1stDer,7,69,9.29502048294875,0.9527074218634466,0.5806944182262681,0.7453628806171326,1.2791178629151017,1.5618807770576146
7,clay_perc,withoutTransform,int10CVrep10,SNV,13,69,5.965544893755711,0.38005989676204144,0.7543930517719042,0.8669028401789641,1.9947980734971156,2.435769881288493
7,clay_perc,withoutTransform,int10CVrep10,SNVplusSG1stDer,7,69,6.860945851647141,0.640936220755537,0.6953964624989318,0.8318512580458861,1.7274889185184592,2.1093691305858275
